0,1,2,3,4,5,6,7,8,9
"['List of Marvel 1602 characters', 1]","['Best Days in the Sun', 1]",,,,,,,,
"['Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War', 1]","['One World Yellow Pages', 1]","['Come to Me (France Joli song)', 1]","['New World Foundation', 1]","[""1999 Kids' Choice Awards"", 1]","['Snooker world ranking points 2008/2009', 1]",,,,
,,,,,,,,,
,,,,,,,,,
"['Never Make It Home', 1]",,,,,,,,,
,,,,,,,,,
"['Never Make It Home', 2]","['Home Farm Twins', 1]",,,,,,,,
"['Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War', 1]","['Iowa City metropolitan area', 1]","['One World Yellow Pages', 1]","['City of Warwick', 1]","['2008 Coventry City Council election', 1]","['New World Foundation', 1]","['Baltimore City Hall', 1]","['Snooker world ranking points 2008/2009', 1]",,
"['Royal Western India Turf Club', 1]",,,,,,,,,
"['Never Make It Home', 1]",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"['1983 Calder Cup playoffs', 1]","['1982 Calder Cup playoffs', 1]","['Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War', 1]","['2007–08 Belarusian Cup', 1]","['The Oliver Group Champions Cup', 1]","['Champions Cup Boston', 1]","['One World Yellow Pages', 1]","['International Tennis Hall of Fame Champions Cup', 1]","['New World Foundation', 1]","['Snooker world ranking points 2008/2009', 1]"
,,,,,,,,,
,,,,,,,,,
"['An Ocean in the Air', 1]","['List of United States Air Force air control squadrons', 1]",,,,,,,,
,,,,,,,,,
"['Never Make It Home', 1]","['Bed of Gold', 1]",,,,,,,,
,,,,,,,,,
"['Never Make It Home', 1]",,,,,,,,,
"['Ariel Winter', 1]",,,,,,,,,
"['Rick Metsger', 1]",,,,,,,,,
,,,,,,,,,
"['1983 Calder Cup playoffs', 1]","['1982 Calder Cup playoffs', 1]","['Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War', 1]","['2007–08 Belarusian Cup', 1]","['The Oliver Group Champions Cup', 1]","['Champions Cup Boston', 1]","['One World Yellow Pages', 1]","['International Tennis Hall of Fame Champions Cup', 1]","['New World Foundation', 1]","['Snooker world ranking points 2008/2009', 1]"
,,,,,,,,,
,,,,,,,,,
"['Best Days in the Sun', 1]",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
